"","R","lhsgrade_pct","nextGPA","probation_year1","totcredits_year1","male","bpl_north_america","english","age_at_entry","campus"
"1",1.9,1.73460105538811,2.20000004768372,0,5,0,1,1,19,1
"2",-0.19,-1.20831120592453,1.17000007629395,1,4,1,1,1,19,2
"3",1.84,1.04596855518269,2.15000009536743,0,4,0,1,1,19,1
"4",1.43,0.619039208406224,0.399999976158142,0,5,0,1,1,17,1
"6",1.47,0.847297860387203,0.729999899864197,0,5,1,1,1,19,3
"7",2.35,1.73460105538811,2.5,0,5,1,1,0,18,1
"9",0.38,-1.15267950993839,0.330000042915344,0,4,0,1,0,18,1
"10",1.18,0.120144311842063,2.20000004768372,0,4,0,0,1,18,1
"11",-0.56,-1.90095876119305,-0.259999990463257,1,5,0,1,0,19,3
"12",0.17,0.160342650075179,1.36999988555908,0,4,0,1,1,18,1
"13",1.18,-1.65822807660353,0.429999947547913,0,5,1,1,1,19,1
"14",1.16,-1.65822807660353,1.55999994277954,0,5,1,1,1,19,3
"15",0.76,0.0400053346136992,1.58000004291534,0,4.5,1,1,1,19,1
"16",1.79,1.04596855518269,1.70000004768372,0,5,0,1,1,19,1
"17",2.02,0.532216813747308,1.42000007629395,0,5,1,1,1,18,1
"18",2.56,3.89182029811063,2.5,0,5,1,1,1,18,1
"19",1.75,0.708185057924486,1.13000011444092,0,5,0,1,1,19,1
"20",0.24,-0.0800427076735365,-0.200000047683716,0,4.5,0,1,1,19,3
"21",0.44,-1.51634748936809,0.699999928474426,0,4,0,1,0,19,1
"22",-0.3,-1.65822807660353,0.240000009536743,1,4.5,1,1,1,18,3
"23",0.84,1.3249254147436,1.10000002384186,0,5,0,1,1,18,1
"24",2.39,0.847297860387203,2.20000004768372,0,5,1,1,1,19,1
"25",1.64,1.04596855518269,1.57999992370605,0,5,0,1,0,19,1
"26",1.35,0.708185057924486,1.5,0,4,0,1,1,18,1
"27",2.32,2.31363492918063,1.77999997138977,0,5,0,1,1,19,3
"28",1.6,0.575364144903562,2.20000004768372,0,4,1,1,1,19,2
"29",2.4,3.17805383034794,2.40000009536743,0,5,1,0,0,19,3
"30",0.38,-1.38629436111989,0.529999971389771,0,4.5,0,1,1,19,1
"31",1.12,-0.281851152140988,0.980000019073486,0,4.5,1,1,0,19,1
"32",0.69,0.575364144903562,1.5900000333786,0,5,1,1,0,19,3
"33",-1.5,-4.59511985013459,-1.5,1,5,0,1,1,19,2
"34",1.62,0.75377180237638,2.1800000667572,0,5,0,1,1,18,1
"35",1.63,2.09074109693377,1.6800000667572,0,5,0,0,1,17,1
"36",1.58,1.450010175506,1.73000001907349,0,5,1,1,1,19,1
"38",0.4,-1.26566637333128,-0.800000011920929,0,4,0,0,0,17,1
"39",1.36,-3.89182029811063,1.6599999666214,0,5,1,1,1,18,2
"40",-0.12,0.0400053346136992,1.5,1,4,0,1,1,17,2
"41",1.64,1.58562726374038,1.20000004768372,0,5,0,1,0,18,1
"42",0.43,0.619039208406224,1.75999999046326,0,4.5,0,1,0,18,3
"43",2.08,0.944461608840851,2.20000004768372,0,5,0,1,0,18,1
"44",1.78,0.895384047054841,1.79999995231628,0,4.5,0,1,1,18,1
"45",2.24,2.75153531304195,1.9300000667572,0,5,1,1,1,20,1
"46",1.85,5.29330482472449,2.25,0,5,1,1,1,19,1
"47",0.52,0.447312218043665,0.429999947547913,0,5,0,1,1,18,1
"48",1.9,1.65822807660353,1.07999992370605,0,5,1,1,1,19,1
"49",1.37,-0.944461608840851,0.399999976158142,0,5,1,1,1,19,3
"50",1.52,2.31363492918063,1.14000010490417,0,5,1,1,1,18,1
"51",1.92,0.75377180237638,2.11999988555908,0,5,1,0,0,18,3
"52",2.27,5.29330482472449,2.25,0,5,0,1,1,19,1
"53",1.09,-0.322773392263051,2.09999990463257,0,5,1,1,0,19,1
"54",-0.96,-1.450010175506,-1.5,1,5,0,0,1,20,1
"55",-0.67,-0.532216813747308,0.899999976158142,1,4,0,0,0,18,3
"56",1,0.847297860387203,0.75,0,5,0,1,1,18,1
"57",1.38,0.75377180237638,1.4300000667572,0,5,0,1,1,19,1
"58",1.84,0.944461608840851,1.60000002384186,0,5,0,1,1,18,3
"59",2.26,0.405465108108164,2.40000009536743,0,4,0,0,0,20,1
"60",2.24,1.3249254147436,1.89999997615814,0,5,1,1,1,19,2
"61",1.44,-1.38629436111989,1.10000002384186,0,4.5,0,1,1,19,3
"62",-0.67,-1.73460105538811,0.5,1,3,0,0,1,18,3
"63",1.92,1.26566637333128,2.08999991416931,0,5,1,0,0,18,3
"64",2.44,3.47609868983527,2.20000004768372,0,5,0,1,0,19,1
"65",1.37,-0.0400053346136992,1.28000009059906,0,4.5,1,1,1,19,1
"66",0.51,-2.94443897916644,0.440000057220459,0,4.5,0,1,0,19,2
"67",0.64,1.73460105538811,0.759999990463257,0,5,1,1,0,19,1
"68",1.36,-0.447312218043665,0.5,0,4,0,1,1,19,2
"69",1.34,0,1.29999995231628,0,5,0,1,1,19,1
"71",2.26,1.20831120592453,1.97000002861023,0,5,0,0,0,19,1
"72",-0.02,-1.58562726374038,-0.25,1,4.5,0,1,1,19,1
"73",2.5,3.89182029811063,2.44000005722046,0,5,0,1,0,19,1
"74",0.01,0.120144311842063,0.799999952316284,0,5,0,1,1,19,1
"75",0.75,-0.241162056816888,0.680000066757202,0,4,0,1,0,18,2
"76",0.93,-1.99243016469021,-0.370000004768372,0,4,1,1,1,19,3
"77",0.76,0.0800427076735366,0.519999861717224,0,4,0,1,0,18,1
"78",1.68,0.405465108108164,1.78999996185303,0,4,0,1,1,19,1
"79",1.98,3.17805383034794,1.5,0,5,0,1,1,19,1
"81",0.44,-0.663294217410264,1.03999996185303,0,3,0,1,1,19,3
"83",-0.28,-3.89182029811063,0.650000095367432,1,5,0,1,0,19,2
"84",1.96,-0.241162056816888,2.20000004768372,0,4.5,0,1,1,19,2
"85",0.7,2.75153531304195,1.66000008583069,0,4,0,1,0,19,1
"86",0.76,1.58562726374038,1.79999995231628,0,4,0,1,1,19,1
"88",0.14,0.944461608840851,0.75,0,5,0,1,1,18,3
"89",1.62,2.44234703536921,1.20000004768372,0,5,0,1,1,18,1
"90",1.87,-0.0800427076735365,1.82999992370605,0,5,0,1,1,19,2
"91",0.44,0.619039208406224,1.11999988555908,0,5,1,1,1,19,1
"92",1.41,-0.0800427076735365,0.699999928474426,0,4,1,1,1,20,3
"93",0.18,-0.160342650075179,1.15000009536743,0,4,0,1,1,18,1
"94",0.96,-4.59511985013459,0.169999957084656,0,5,1,1,0,19,2
"95",2.18,2.44234703536921,2.09999990463257,0,5,0,1,0,17,1
"96",0.84,0.575364144903562,1.79999995231628,0,5,0,0,1,18,1
"97",0.72,-1.65822807660353,1,0,5,0,1,1,18,2
"98",-0.05,0.200670695462151,0.5,1,5,0,0,0,17,1
"99",2,-0.575364144903562,0.699999928474426,0,5,1,1,1,20,1
"100",0.43,-0.994622575144062,0.880000114440918,0,4.5,0,1,1,19,1
"101",0.36,-0.532216813747308,0.579999923706055,0,4,0,1,1,20,1
"102",1.74,1.58562726374038,1.55000007152557,0,5,0,1,1,19,3
"103",1.21,1.38629436111989,2.5,0,5,0,1,0,18,1
"104",0.74,0.532216813747308,2.13000011444092,0,5,0,1,1,19,3
"105",0.56,1.450010175506,1.20000004768372,0,5,0,1,1,19,1
"107",1.5,1.99243016469021,0.200000047683716,0,5,0,1,0,18,1
"108",0.78,0.489548225318706,0.970000028610229,0,5,0,1,1,19,1
"109",1.61,0.994622575144062,1.4300000667572,0,5,1,1,1,19,1
"110",1.04,-0.241162056816888,1.04999995231628,0,5,1,1,1,19,2
"111",0.98,-0.75377180237638,-0.800000011920929,0,5,1,1,1,18,2
"112",1.52,1.81528996663825,1.25999999046326,0,4,0,0,0,18,1
"113",-1.5,-0.944461608840851,-0.959999978542328,1,4,0,0,0,18,3
"114",1.64,1.20831120592453,1.95000004768372,0,5,0,1,1,18,1
"115",2.32,2.94443897916644,0.640000104904175,0,4,1,1,1,17,1
"116",1.29,-1.90095876119305,1.5,0,5,1,1,1,19,2
"117",0.72,-0.532216813747308,0.350000023841858,0,5,0,1,1,19,1
"118",1,-0.75377180237638,0.700000047683716,0,3,0,1,1,18,3
